city,timestamp,temperature,season
New York,2010-01-01,4.246821708562145,winter
New York,2010-01-02,6.782939473044181,winter
New York,2010-01-03,-4.842303267943237,winter
New York,2010-01-04,8.542757242532769,winter
New York,2010-01-05,7.334554924144765,winter
New York,2010-01-06,12.854720694110286,winter
New York,2010-01-07,5.620074697730249,winter
New York,2010-01-08,-10.813968726521983,winter
New York,2010-01-09,-6.0579054856848655,winter
New York,2010-01-10,-5.571123792630375,winter
New York,2010-01-11,3.9583104860121177,winter
New York,2010-01-12,-0.41657037181269757,winter
New York,2010-01-13,1.2419616076154587,winter
New York,2010-01-14,4.543996845868204,winter
New York,2010-01-15,-3.0366663128204854,winter
New York,2010-01-16,5.166725244165083,winter
New York,2010-01-17,6.738483037617565,winter
New York,2010-01-18,-1.9335569504189456,winter
New York,2010-01-19,-1.3901652781337657,winter
New York,2010-01-20,7.5201865609293925,winter
New York,2010-01-21,-1.9521223886765888,winter
New York,2010-01-22,6.45245648171816,winter
New York,2010-01-23,0.9574613570670315,winter
New York,2010-01-24,4.878889251018416,winter
New York,2010-01-25,-6.392635343059409,winter
New York,2010-01-26,0.050903873087763465,winter
New York,2010-01-27,-2.57726344910954,winter
New York,2010-01-28,-1.5723566537032099,winter
New York,2010-01-29,1.02482765775413,winter
New York,2010-01-30,5.453326706435885,winter
New York,2010-01-31,1.5151657681774582,winter
New York,2010-02-01,-7.579803757510865,winter
New York,2010-02-02,-5.85905269270805,winter
New York,2010-02-03,3.0073442426292814,winter
New York,2010-02-04,-4.391161731765405,winter
New York,2010-02-05,-11.22943587354073,winter
New York,2010-02-06,-17.290284361869666,winter
New York,2010-02-07,3.0649634087816535,winter
New York,2010-02-08,-4.828586542182564,winter
New York,2010-02-09,4.542323252141497,winter
New York,2010-02-10,0.6268175332439151,winter
New York,2010-02-11,-1.1369612758445728,winter
New York,2010-02-12,-9.336882885125874,winter
New York,2010-02-13,4.665294855283304,winter
New York,2010-02-14,3.545776724052041,winter
New York,2010-02-15,-4.137494276117315,winter
New York,2010-02-16,-6.238350576064952,winter
New York,2010-02-17,-9.227261821892302,winter
New York,2010-02-18,-0.030339296178413355,winter
New York,2010-02-19,6.248656836920921,winter
New York,2010-02-20,-3.4272077578033784,winter
New York,2010-02-21,-3.1951362973415094,winter
New York,2010-02-22,-3.093630272034609,winter
New York,2010-02-23,0.03911603127343983,winter
New York,2010-02-24,-2.2465602423052764,winter
New York,2010-02-25,3.785580169088318,winter
New York,2010-02-26,7.942342720626191,winter
New York,2010-02-27,4.797054812524303,winter
New York,2010-02-28,2.1974235857443696,winter
New York,2010-03-01,6.97215463395737,spring
New York,2010-03-02,10.562306365763249,spring
New York,2010-03-03,5.187701644107309,spring
New York,2010-03-04,-0.16558501578252782,spring
New York,2010-03-05,16.942643315407274,spring
New York,2010-03-06,15.620412580038312,spring
New York,2010-03-07,9.557839787274249,spring
New York,2010-03-08,12.648861181179813,spring
New York,2010-03-09,12.043941626122592,spring
New York,2010-03-10,2.9012356239628536,spring
New York,2010-03-11,5.0406122841913525,spring
New York,2010-03-12,1.4401829245728126,spring
New York,2010-03-13,5.700013224557991,spring
New York,2010-03-14,6.192684893576078,spring
New York,2010-03-15,13.383184240542386,spring
New York,2010-03-16,15.809809775380849,spring
New York,2010-03-17,11.94505975783858,spring
New York,2010-03-18,11.109367699644439,spring
New York,2010-03-19,7.4568344938732265,spring
New York,2010-03-20,3.571483678208044,spring
New York,2010-03-21,10.918715571169768,spring
New York,2010-03-22,5.657733908414649,spring
New York,2010-03-23,8.209216278438491,spring
New York,2010-03-24,21.25708948770099,spring
New York,2010-03-25,6.797997119243739,spring
New York,2010-03-26,6.685898316583002,spring
New York,2010-03-27,6.185931747037603,spring
New York,2010-03-28,9.71282114344471,spring
New York,2010-03-29,1.3697059732040984,spring
New York,2010-03-30,6.209637750333672,spring
New York,2010-03-31,-1.3578363125504356,spring
New York,2010-04-01,1.9523226829868656,spring
New York,2010-04-02,1.9967384734536975,spring
New York,2010-04-03,6.87089593502077,spring
New York,2010-04-04,2.528906810674653,spring
New York,2010-04-05,12.771794030759326,spring
New York,2010-04-06,16.50284946515994,spring
New York,2010-04-07,16.21719606909864,spring
New York,2010-04-08,9.784311149157126,spring
New York,2010-04-09,9.934049203119,spring
New York,2010-04-10,10.07943636971352,spring
New York,2010-04-11,6.350274131382748,spring
New York,2010-04-12,2.564155318634447,spring
New York,2010-04-13,5.1040881079567155,spring
New York,2010-04-14,9.618893248500026,spring
New York,2010-04-15,14.321900624614244,spring
New York,2010-04-16,3.605143464000026,spring
New York,2010-04-17,9.299074974331079,spring
New York,2010-04-18,9.048330636033928,spring
New York,2010-04-19,4.181962586656438,spring
New York,2010-04-20,10.815576719702293,spring
New York,2010-04-21,9.434735313526762,spring
New York,2010-04-22,10.27674574435856,spring
